,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Travel Sustainability,Description
325,Gabba Central Apartments,"Woolloongabba, Brisbane",7.7,Good ,"1,060 reviews",2.3 km from centre,Travel Sustainable,"Located across the road from Brisbane’s major sports stadium, the Gabba, this hotel is perfectly situated for those seeking contemporary and stylish accommodation in the centre of Queensland’s capital..."
326,Best Western Airport 85 Motel,"Ascot, Brisbane",8.0,Very good ,685 reviews,6.7 km from centre,Travel Sustainable,"At Best Western Airport 85 Motel guests enjoy free Wi-Fi,  free continental breakfast for 2 guests per room and free parking. "
327,FV By Serain Residences,"Fortitude Valley, Brisbane",6.1,Review score ,219 reviews,1.7 km from centre,Not Travel Sustainable,"Set less than 1 km from Brisbane Showgrounds, FV By Serain Residences offers a fitness centre, a terrace and accommodation with a balcony and free WiFi. "
328,Herston Place Motel,Brisbane,7.9,Good ,165 reviews,2.4 km from centre,Not Travel Sustainable,"Featuring air-conditioned rooms with a private balcony and a flat-screen TV, Herston Place Motel is just 5 km from the Brisbane Convention and Exhibition Centre. "
329,Ingenia Holidays Taigum (Formerly Colonial Village),Brisbane,7.7,Good ,653 reviews,13.4 km from centre,Not Travel Sustainable,"Colonial Village boasts a large outdoor pool. Guests can choose between a room, studio or cabin, some featuring a private balcony or patio area. Prepare a tasty meal using the BBQ facilities. "
330,Code Apartments,"Bowen Hills, Brisbane",7.5,Good ,"1,671 reviews",2.7 km from centre,Travel Sustainable,"Located just a 10-minute drive from Brisbane Central Business District, Code Apartments offers a heated outdoor swimming pool and a fitness centre. "
331,Mt Ommaney Hotel Apartments,Brisbane,7.9,Good ,333 reviews,11.8 km from centre,Not Travel Sustainable,"Just 20 minutes’ drive from the centre of Brisbane, Mt Ommaney Hotel Apartments features an outdoor swimming pool, tennis court and à la carte restaurant. Free Wi-Fi is included. "
332,Manly Hotel,Brisbane,7.7,Good ,451 reviews,16.2 km from centre,Not Travel Sustainable,"Manly Hotel is situated on Brisbane’s bayside in Queensland, adjacent to the Manly Marina. The hotel offers a restaurant, coffee shop/café, gaming lounge and a liquor shop. "
333,The Chermside Apartments,"Chermside, Brisbane",7.5,Good ,"1,214 reviews",9.2 km from centre,Travel Sustainable,"The Chermside Apartments are located in the heart of Brisbane’s northern suburbs, 100 metres from Northside Bus Interchange. "
334,ULTIQA Rothbury Hotel,"Brisbane CBD, Brisbane",7.6,Good ,361 reviews,0.7 km from centre,Travel Sustainable,Enjoy your own private apartment or room in this characteristic building in the heart of Brisbane's CBD (Central Business District). Sit out on the garden terrace and enjoy the fresh air. 
335,Mantra on Queen,"Brisbane CBD, Brisbane",7.5,Good ,742 reviews,1.2 km from centre,Travel Sustainable,"Mantra on Queen is a modern 30-storey hotel offering spacious rooms and apartments, many overlooking the Brisbane River or offering city views. "
336,Mantra on Mary,"Brisbane CBD, Brisbane",7.3,Good ,961 reviews,0.6 km from centre,Travel Sustainable,"Located in the heart of Brisbane's CBD (Central Business District), Mantra on Mary offer self-contained accommodation with TVs and DVD players. "
337,City Backpackers HQ,"Brisbane CBD, Brisbane",7.7,Good ,552 reviews,0.9 km from centre,Travel Sustainable,"Located in the centre of Brisbane, this hostel offers panoramic river and city views from the rooftop swimming pool. Guests have access to unlimited free Wi-Fi. "
338,Pullman Brisbane King George Square,"Brisbane CBD, Brisbane",7.0,Good ,667 reviews,150 m from centre,Travel Sustainable,"Pullman Brisbane King George Square is opposite City Hall, and features extremely spacious rooms. Roma Street Transit Centre and Queen Street Mall and Central Train Station are a 5-minute walk away. "
339,Punthill Spring Hill,"Spring Hill, Brisbane",7.6,Good ,848 reviews,0.7 km from centre,Travel Sustainable,"Offering a swimming pool and a fitness centre, Punthill Spring Hill is just 900 metres from Queen Street Mall and 1km from the City Cat Terminal. All accommodation include a kitchenette. "
340,Quest Ascot,"Ascot, Brisbane",7.5,Good ,419 reviews,6.3 km from centre,Travel Sustainable,"Quest Ascot features a seasonal outdoor pool, a small gymnasium and a sauna room. It is 350 metres from Racecourse Road where various shops and restaurants can be found. "
341,George Williams Hotel,"Brisbane CBD, Brisbane",7.9,Good ,"3,687 reviews",50 m from centre,Travel Sustainable,"George Williams Hotel is located in the heart of the Brisbane CBD (Central Business District), just a 5-minute walk from Roma Street Train Station, Treasury Casino and the shops and boutiques of the..."
342,Chermside Court Motel,"Chermside, Brisbane",7.4,Good ,466 reviews,9.2 km from centre,Travel Sustainable,"Featuring studios with free Wi-Fi and a private balcony or patio, Chermside Court Motel is just 15 minutes’ drive from Brisbane Airport. It features a terrace and a barbecue area set in lovely..."
343,West End Central Apartments,"South Brisbane, Brisbane",7.2,Good ,414 reviews,1.2 km from centre,Not Travel Sustainable,All accommodation offers a kitchen or kitchenette. There is Free onsite parking (subject to availability) and free WiFi. 
344,Isla House PA,Brisbane,7.5,Good ,364 reviews,3.6 km from centre,Not Travel Sustainable,"Situated in Brisbane, Isla House PA offers accommodation with a balcony or a patio, free WiFi and flat-screen TV, as well as a garden and a terrace. "
345,Rocklea International Motel,"Rocklea, Brisbane",7.5,Good ,383 reviews,8.3 km from centre,Not Travel Sustainable,This motel offers boutique-style accommodation with free parking and free cable TV. Rocklea International Motel is situated 10 km from Brisbane’s South Bank. 
346,Pacific Hotel Brisbane,"Spring Hill, Brisbane",7.7,Good ,"2,124 reviews",0.6 km from centre,Travel Sustainable,"Located in Spring Hill, overlooking Brisbane city, the refurbished 4-star Pacific Hotel Brisbane offers guests views from private balconies and provides easy access to the nearby hospitals, CBD, Roma..."
347,Ascot Budget Inn & Residences,"Ascot, Brisbane",7.8,Good ,"1,594 reviews",6.6 km from centre,Travel Sustainable,"Just 12 minutes’ drive from Brisbane City Centre, Ascot Budget Inn & Residences is offers free WiFi, a tour desk and a shared kitchen. Guest enjoy free continental breakfast every day. "
348,Park Regis North Quay,"Brisbane CBD, Brisbane",7.7,Good ,"1,747 reviews",0.6 km from centre,Travel Sustainable,"Perched above the Brisbane River, the Park Regis North Quay is a 4-star hotel offering spectacular views over the city and across South Bank. "
349,The Capitol Apartments,"South Brisbane, Brisbane",7.1,Good ,730 reviews,0.7 km from centre,Travel Sustainable,The Capitol Apartments offers self-contained accommodation with kitchen and laundry facilities. Guests have access to gym and non-heated outdoor pool. Guests enjoy free WiFi. 
350,Airport International Motel Brisbane,"Hamilton, Brisbane",7.5,Good ,677 reviews,5.7 km from centre,Not Travel Sustainable,"Airport International Motel Brisbane is only 10 minutes’ drive from both Brisbane Airport and Brisbane city centre. Free WiFi,  free car parking and free guest laundry facilities are available. "
351,Aspley Motor Inn,"Aspley, Brisbane",7.8,Good ,567 reviews,10.9 km from centre,Not Travel Sustainable,"Offering free WiFi and streaming service, Aspley Motor Inn offers air conditioned accommodation with each room fitted with a flat screen TV, just  2.2 km away from Prince Charles Hospital. "
352,Menso at Southbank,"South Brisbane, Brisbane",6.5,Review score ,583 reviews,1.4 km from centre,Not Travel Sustainable,"Located just 500 metres from South Bank Parklands, Menso at Southbank offers guests free WiFi throughout the property. Guests can enjoy a dip in the outdoor swimming pool. "
353,Airport Riverview Motel,"Hamilton, Brisbane",7.8,Good ,884 reviews,5.3 km from centre,Travel Sustainable,"Located just off Kingsford Smith Drive, Riverview Motel is just a 1-minute walk to the Brisbane River and adjacent to Racecourse Road's shops and restaurants. "
354,Mercure Brisbane Garden City,Brisbane,7.6,Good ,"1,369 reviews",12.5 km from centre,Not Travel Sustainable,"Just 12 kilometres from Brisbane CBD, Mercure Brisbane Garden City is in the heart of South Brisbane and on the doorstep of Westfield Garden City Shopping Centre. "
355,Flynn Brisbane,"Spring Hill, Brisbane",7.2,Good ,825 reviews,0.7 km from centre,Travel Sustainable,"Offering mountain views and a terrace, Flynn Brisbane offers accommodation conveniently located in Brisbane, within a short distance of Roma Street Parklands, Queen Street Mall and Brisbane Central..."
356,Parkview Brisbane,Brisbane,4.7,Review score ,86 reviews,4.3 km from centre,Not Travel Sustainable,"Set in Brisbane, 1.9 km from Boggo Road Gaol, Parkview Brisbane offers accommodation with a garden, free private parking, a terrace and barbecue facilities. "
357,The Metropolitan Spring Hill,"Spring Hill, Brisbane",7.7,Good ,"1,302 reviews",0.8 km from centre,Travel Sustainable,"Just 5 minutes’ walk from Central Train Station, The Metropolitan Spring Hill offers rooms with a flat-screen TV. Just 10 minutes' walk to the city, it features a 24-hour reception and a sunny..."
358,Soho Brisbane,"Spring Hill, Brisbane",7.7,Good ,"1,529 reviews",0.5 km from centre,Not Travel Sustainable,"Soho Brisbane boasts a central location, opposite the beautiful Roma Street Parkland and a 5-minute walk from the heart of the city. It is just 400 metres from the Roma Street Transit Centre. "
359,The Waterloo Bay Hotel,Brisbane,7.4,Good ,"1,139 reviews",15 km from centre,Travel Sustainable,"The Waterloo Bay Hotel features a restaurant, a sports bar and free on-site parking. It is a 5-minute drive from Wynnum Central Train Station and 3 km from Manly Boat Harbour. "
360,iStay River City Brisbane,"Brisbane CBD, Brisbane",7.2,Good ,"2,078 reviews",0.6 km from centre,Travel Sustainable,iStay River City Brisbane offers modern 4-star apartments in the Brisbane's CBD (Central Business District). Guests enjoy access to a large outdoor terrace. 
361,Sunnybank Star Hotel,"Eight Mile Plains, Brisbane",7.3,Good ,480 reviews,13.4 km from centre,Not Travel Sustainable,"Sunnybank Star Hotel is located in South Brisbane, 8 minutes' drive from Westfield Garden City and a 30-minute drive from the Gold Coast Theme Parks. "
362,Fleet Lane Apartments,"South Brisbane, Brisbane",7.2,Good ,"3,760 reviews",0.7 km from centre,Not Travel Sustainable,"Boasting stunning city views and private access to a rooftop terrace, including a hot tub, sun lounges, dining areas, a zen garden and shaded barbecue facilities, Fleet Lane Apartments is located 250..."
363,Hamilton Motor Inn,"Hamilton, Brisbane",7.3,Good ,653 reviews,5.3 km from centre,Not Travel Sustainable,"Located across from the Brisbane River and Bretts Wharf Ferry stop, City Cat, the Hamilton Motor Inn offers both free WiFi and free parking. After hours check-in is available. "
364,Prince of Wales Hotel,Brisbane,7.4,Good ,470 reviews,8.2 km from centre,Not Travel Sustainable,"Conveniently located an 8-minute drive from Brisbane Airport, the Prince of Wales Hotel provides simple rooms and studios. Each provides guests with a flat-screen TV and air-conditioning. "
365,Chasely Apartment Hotel,"Auchenflower, Brisbane",7.4,Good ,967 reviews,2.4 km from centre,Not Travel Sustainable,"Overlooking Brisbane River, Chasely Hotel offers modern apartments with free WiFi and a DVD player. Situated opposite Wesley Hospital, it features free covered parking. "
366,Airway Motel,"Ascot, Brisbane",7.5,Good ,"1,557 reviews",6.6 km from centre,Travel Sustainable,"Airway Motel is a 15-minute drive from central Brisbane and a 10-minute drive from Brisbane Airport. It offers an outdoor saltwater pool, a courtyard with outdoor furniture, and free on-site parking. "
367,Brisbane Backpackers Resort,"South Brisbane, Brisbane",7.2,Good ,608 reviews,1.5 km from centre,Not Travel Sustainable,"Located in Brisbane's West End, 10 minutes' walk from Southbank, Brisbane Backpackers Resort boasts a swimming pool, heated spa, licensed bar and beer garden. Free WiFi throughout the property. "
368,Mercure Brisbane King George Square,"Brisbane CBD, Brisbane",7.1,Good ,"1,799 reviews",150 m from centre,Not Travel Sustainable,Mercure Brisbane King George Square is located in the heart of Brisbane's CBD (Central Business District). It offers a rooftop deck with a gym. 
369,Holland Park Motel,Brisbane,6.5,Review score ,365 reviews,6.7 km from centre,Not Travel Sustainable,"Centrally located in Brisbane, Holland Park Motel is within 15 minutes' drive of the Gabba Brisbane Cricket Ground and Suncorp Stadium. It boasts air-conditioned rooms with free WiFi. "
370,Acacia Ridge Hotel & Motel Brisbane,"Acacia Ridge, Brisbane",6.3,Review score ,376 reviews,13.1 km from centre,Not Travel Sustainable,"Situated in Brisbane, 10 km from University of Queensland - St Lucia, Acacia Ridge Hotel & Motel Brisbane features a bar and bistro with free WiFi access. "
371,Brisbane City YHA,"Brisbane CBD, Brisbane",7.5,Good ,"2,313 reviews",1 km from centre,Travel Sustainable,"Just 10 minutes’ walk from Roma Street Transit Centre and 450 metres from Suncorp Stadium, Brisbane City YHA features a stunning rooftop swimming pool overlooking the city and Brisbane River. "
372,Forest Lodge Apartments,Brisbane,7.0,Good ,588 reviews,5.6 km from centre,Not Travel Sustainable,"Set on 1.5 acres of tropical gardens, guests at Forest Lodge Apartments can enjoy a swim in the pool or create a tasty meal on the BBQ. "
373,Spring Hill Terraces,"Spring Hill, Brisbane",7.1,Good ,762 reviews,1.7 km from centre,Travel Sustainable,"Located in a quiet Brisbane suburb, Spring Hill Terraces offers affordable and comfortable accommodation just 1.5km from the city's Central Business District. "
374,Airport Motel Brisbane,"Hamilton, Brisbane",7.5,Good ,877 reviews,6.2 km from centre,Travel Sustainable,"Just 10-15 minutes’ drive from Brisbane Airport, Airport Motel Brisbane offers air-conditioned rooms with flat-screen cable TV. "
375,Bunk Brisbane,"Fortitude Valley, Brisbane",7.1,Good ,572 reviews,1.6 km from centre,Travel Sustainable,"Located in the heart of Fortitude Valley's vibrant nightlife district, Bunk Brisbane is a multi-award winning hostel, conveniently situated for guests wanting to explore the Sunshine State. "
376,Raceways Motel,Brisbane,6.5,Review score ,288 reviews,5.9 km from centre,Not Travel Sustainable,"Set in Brisbane, 5 km from Brisbane Showgrounds, Raceways Motel offers accommodation with an outdoor swimming pool, free private parking, a tennis court and barbecue facilities. "
377,Ridge Apartment Hotel,"Spring Hill, Brisbane",7.1,Good ,"1,344 reviews",0.9 km from centre,Travel Sustainable,The Ridge Apartment Hotel offers boutique accommodation with diverse room types and styles. There are studio and studio executive rooms or one bedroom apartments. 
378,Sunnybank Hotel Brisbane,Brisbane,7.1,Good ,798 reviews,12 km from centre,Not Travel Sustainable,"Just across the street from Sunnybank Plaza with over 130 stores, Sunnybank Hotel Brisbane offers simple motel accommodation featuring an on-site bottle shop and a bistro. "
379,Pegasus Motor Inn and Serviced Apartments,"Hamilton, Brisbane",6.8,Review score ,936 reviews,6.3 km from centre,Not Travel Sustainable,"Set in tranquil gardens, Pegasus Motor Inn and Serviced Apartments offers a range of 4-star accommodation options, including fully self-contained 1-bedroom apartments as well as executive, deluxe and..."
380,Residency Hotels Astor Metropole,"Spring Hill, Brisbane",5.9,Review score ,373 reviews,0.5 km from centre,Not Travel Sustainable,"Residency Hotels Astor Metropole is centrally located in Brisbane city centre, just 5 minutes’ walk from Central Station. It has an outdoor swimming pool and restaurant with a sunny courtyard. "
381,Globe Studios,"Fortitude Valley, Brisbane",6.3,Review score ,404 reviews,1.9 km from centre,Travel Sustainable,"Just 5 minutes’ walk from Fortitude Valley, Globe Studios features free Wi-Fi, a hot tub and a BBQ area. It offers self-contained studios within 10 minutes’ drive of Brisbane city centre. "
382,Great Southern Hotel Brisbane,"Brisbane CBD, Brisbane",7.1,Good ,"2,916 reviews",0.5 km from centre,Travel Sustainable,The Great Southern Hotel Brisbane offers a variety of standard and superior rooms in the heart of Brisbane's CBD (Central Business District). 
383,Madison Tower Mill Hotel,"Spring Hill, Brisbane",7.0,Good ,"1,865 reviews",450 m from centre,Travel Sustainable,"Featuring rooms with free WiFi and beautiful views, the comfortable Madison Tower Mill Hotel is located close to the city centre, the medical district, historic attractions and conference venues. "
384,Oakwood Hotel & Apartments Brisbane,"Brisbane CBD, Brisbane",7.1,Good ,"4,508 reviews",1.5 km from centre,Not Travel Sustainable,"Nestled between Brisbane CBD (Central Business District) and Fortitude Valley, Oakwood Hotel & Apartments Brisbane boasts access to an outdoor pool and spa with stunning views, a fitness centre and..."
385,Abbey On Roma Hotel & Apartments,"Brisbane CBD, Brisbane",6.7,Review score ,"1,779 reviews",400 m from centre,Travel Sustainable,"Located in the heart of Brisbane CBD (Central Business District), Abbey Apartments feature self-catering accommodation with private balconies and kitchenettes. "
386,Gonow Family Backpackers Hostel,"West End, Brisbane",5.9,Review score ,264 reviews,1.5 km from centre,Not Travel Sustainable,"Go Now Family Backpackers Hostel features free Wi-Fi access, free on-site parking and free light breakfast. "
387,Astor Metropole Hotel,"Spring Hill, Brisbane",6.1,Review score ,711 reviews,500 m from centre,Travel Sustainable,"Boasting an outdoor swimming pool, a restaurant and a sunny terrace, Astor Metropole Hotel is located opposite Brisbane Central Station. "
388,Riverside Hotel South Bank,"South Brisbane, Brisbane",6.8,Review score ,"2,800 reviews",0.6 km from centre,Travel Sustainable,"Just 3 minutes’ walk from Queensland Art Gallery, Riverside Hotel features free parking, a restaurant and an outdoor swimming pool. It features air-conditioned accommodation with a private balcony. "
389,Summer House Backpackers Brisbane,"Brisbane CBD, Brisbane",6.6,Review score ,922 reviews,0.9 km from centre,Travel Sustainable,"Just a 10-minute walk from Suncorp Stadium, Summer House Backpackers Brisbane features a 24-hour front desk, BBQ facilities and a rooftop terrace with amazing city and river views. "
390,Abbey On Roma Hotel & Apartments,"Brisbane CBD, Brisbane",6.7,Review score ,"1,779 reviews",400 m from centre,Travel Sustainable,"Located in the heart of Brisbane CBD (Central Business District), Abbey Apartments feature self-catering accommodation with private balconies and kitchenettes. "
391,Gonow Family Backpackers Hostel,"West End, Brisbane",5.9,Review score ,264 reviews,1.5 km from centre,Not Travel Sustainable,"Go Now Family Backpackers Hostel features free Wi-Fi access, free on-site parking and free light breakfast. "
392,Astor Metropole Hotel,"Spring Hill, Brisbane",6.1,Review score ,711 reviews,500 m from centre,Travel Sustainable,"Boasting an outdoor swimming pool, a restaurant and a sunny terrace, Astor Metropole Hotel is located opposite Brisbane Central Station. "
393,Riverside Hotel South Bank,"South Brisbane, Brisbane",6.8,Review score ,"2,800 reviews",0.6 km from centre,Travel Sustainable,"Just 3 minutes’ walk from Queensland Art Gallery, Riverside Hotel features free parking, a restaurant and an outdoor swimming pool. It features air-conditioned accommodation with a private balcony. "
394,Summer House Backpackers Brisbane,"Brisbane CBD, Brisbane",6.6,Review score ,922 reviews,0.9 km from centre,Travel Sustainable,"Just a 10-minute walk from Suncorp Stadium, Summer House Backpackers Brisbane features a 24-hour front desk, BBQ facilities and a rooftop terrace with amazing city and river views. "
395,Annerley Motor Inn,"Annerley, Brisbane",6.1,Review score ,512 reviews,5.3 km from centre,Not Travel Sustainable,"Located just 6 km from central Brisbane, Annerley Motor Inn features free Wi-Fi and an outdoor swimming pool. There are bus services at the door and free parking is available on-site. "
396,Alloggio Hamilton Brisbane Airport,"Hamilton, Brisbane",5.9,Review score ,"1,161 reviews",5.8 km from centre,Not Travel Sustainable,"Set in pretty landscaped gardens, the Airport Alloggio Motel is well-positioned within easy reach of Brisbane Airport, the City Cat and the ferry port. "
397,ibis budget Windsor Brisbane,"Windsor, Brisbane",6.3,Review score ,"1,035 reviews",3.4 km from centre,Travel Sustainable,The ibis budget Windsor Brisbane is located just 1.2 km from RNA Showgrounds and 10 km from Brisbane Airport. 
398,Kingsford Riverside Inn,"Hamilton, Brisbane",5.9,Review score ,660 reviews,4.2 km from centre,Not Travel Sustainable,"Located on the banks of the Brisbane River, Kingsford Riverside Inn offers air-conditioned rooms with free Wi-Fi. Guests have access to a BBQ area and a communal kitchen. "
399,Airolodge International,"Hamilton, Brisbane",5.4,Review score ,953 reviews,5.8 km from centre,Travel Sustainable,"Featuring a swimming pool, this boutique motel offers 24-hour check in, 15 minutes' drive from the New Cruise Terminal  and 10 minutes’ drive from Brisbane Airport. "
400,Brisbane Manor,"Fortitude Valley, Brisbane",5.7,Review score ,"1,104 reviews",2.1 km from centre,Travel Sustainable,"Located in a historic building built in the 1800s, Brisbane Manor features a bar, a sunny terrace and BBQ facilities. "
401,Chill Backpackers,"Brisbane CBD, Brisbane",6.0,Review score ,677 reviews,0.8 km from centre,Travel Sustainable,"Situated only 250 metres from Roma Street bus and train terminal, Chill Backpackers features a rooftop terrace with city and river views. There are free daily movies in the movie room. "
402,ibis Budget Brisbane Airport,"Hendra, Brisbane",6.3,Review score ,"2,254 reviews",8.3 km from centre,Travel Sustainable,"Just 5 minutes’ drive from Brisbane Airport, ibis Budget Brisbane Airport offers air-conditioned accommodation with free parking. Accessed via stairs only, all rooms have a TV and a private bathroom. "
403,All Nations Brisbane,"Brisbane CBD, Brisbane",5.7,Review score ,948 reviews,400 m from centre,Not Travel Sustainable,"All Nations Brisbane Hostel offers budget accommodation, a rooftop terrace and a BBQ area. WiFi is available throughout this heritage-listed building in the heart of Brisbane city centre. "
404,Turbot House Hotel,"Brisbane CBD, Brisbane",4.3,Review score ,653 reviews,100 m from centre,Not Travel Sustainable,Turbot House Hotel offers budget accommodation in the heart of Brisbane's CBD (Central Business District). 
405,Two-bedroom Apartment with entertainment sunroom,Brisbane,Nan,Nan,Nan,3.9 km from centre,Not Travel Sustainable,"Located in Brisbane, 6.6 km from Story Bridge and 7.6 km from New Farm Riverwalk, Two-bedroom Apartment with entertainment sunroom provides air-conditioned accommodation with a patio and free WiFi. "
406,Stylish Split Level Apartment 13 Minutes From City,Brisbane,8.3,Very good ,10 reviews,1.8 km from centre,Not Travel Sustainable,"Stylish Split Level Apartment 13 Minutes From City, a property with an outdoor swimming pool and barbecue facilities, is set in Brisbane, 1.7 km from Suncorp Stadium, 1.8 km from Roma Street Station,..."
407,2-Bed with Panoramic Views in The Heart of Brissie,"Brisbane CBD, Brisbane",6.6,Review score ,15 reviews,0.7 km from centre,Not Travel Sustainable,"Ideally set in the centre of Brisbane, 2-Bed with Panoramic Views in The Heart of Brissie is within a short distance of Queen Street Mall and City Botanical Gardens. "
408,New Apartment close to Westfield and Hospital,"Chermside, Brisbane",Nan,Nan,Nan,9.2 km from centre,Not Travel Sustainable,"New Apartment close to Westfield and Hospital, a property with a garden, a terrace and barbecue facilities, is set in Brisbane, 9.4 km from Brisbane Entertainment Centre, 10 km from Roma Street..."
409,Luxe Unit w/ Backyard + Carpark,"South Brisbane, Brisbane",2.0,Review score ,1 review,1.4 km from centre,Not Travel Sustainable,"In the South Brisbane district of Brisbane, close to Southbank Station, Luxe Unit w/ Backyard + Carpark has a garden and a washing machine. "
410,Swan Guest House,Brisbane,Nan,Nan,Nan,6.1 km from centre,Not Travel Sustainable,"Set in Brisbane, 5 km from Brisbane Showgrounds, Swan Guest House offers accommodation with a garden, free private parking and a shared lounge. "
411,Stunning 3BR Apartment with Brisbane City Views,"Fortitude Valley, Brisbane",6.6,Review score ,5 reviews,1.8 km from centre,Not Travel Sustainable,"Set in Brisbane, 800 metres from Brisbane Showgrounds, 1.1 km from New Farm Riverwalk and 1.6 km from Brisbane Central Station, Stunning 3BR Apartment with Brisbane City Views offers accommodation..."
412,Stunning Views on the 41st Floor,"Brisbane CBD, Brisbane",8.8,Fabulous ,5 reviews,1.3 km from centre,Not Travel Sustainable,Stunning Views on the 41st Floor is ideally situated in the centre of Brisbane and has a fitness centre. 
413,Forest Sanctuary 3 Bed New Farm,"New Farm, Brisbane",Nan,Nan,Nan,2.6 km from centre,Not Travel Sustainable,"Boasting an outdoor swimming pool, a garden, and a terrace, Forest Sanctuary 3 Bed New Farm features accommodation in Brisbane with free WiFi and city views. "
414,Chermside deluxe 3 bedroom brand new apartment,"Chermside, Brisbane",Nan,Nan,Nan,9.2 km from centre,Not Travel Sustainable,"Within 10 km of Brisbane Entertainment Centre and 10 km of Roma Street Parklands, Chermside deluxe 3 bedroom brand new apartment provides free WiFi and a terrace. "
415,Cosy apt with city view near Exhibition Centre,"South Brisbane, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Cosy apt with city view near Exhibition Centre, a property with an outdoor swimming pool and barbecue facilities, is set in Brisbane, less than 1 km from Brisbane Convention & Exhibition Centre, a..."
416,Gabwina Oasis,Brisbane,Nan,Nan,Nan,9.2 km from centre,Travel Sustainable,"Gabwina Oasis, a property with an outdoor swimming pool and a terrace, is located in Brisbane, 11 km from University of Queensland - St Lucia, 11 km from Suncorp Stadium, as well as 13 km from..."
417,Forest Sanctuary 3 Bed New Farm,"New Farm, Brisbane",Nan,Nan,Nan,2.6 km from centre,Not Travel Sustainable,"Boasting an outdoor swimming pool, a garden, and a terrace, Forest Sanctuary 3 Bed New Farm features accommodation in Brisbane with free WiFi and city views. "
418,Chermside deluxe 3 bedroom brand new apartment,"Chermside, Brisbane",Nan,Nan,Nan,9.2 km from centre,Not Travel Sustainable,"Within 10 km of Brisbane Entertainment Centre and 10 km of Roma Street Parklands, Chermside deluxe 3 bedroom brand new apartment provides free WiFi and a terrace. "
419,Luxury 2 Bedroom 2 Bathroom in the heart of South Brisbane,"South Brisbane, Brisbane",9.5,Exceptional ,4 reviews,0.9 km from centre,Not Travel Sustainable,"Situated in Brisbane, 400 metres from Brisbane Convention & Exhibition Centre, 500 metres from Queensland Performing Arts Complex (QPAC) and 500 metres from South Brisbane Station, Luxury 2 Bedroom 2..."
420,CBD RiverView 2Bed Apt Kingbed at Tallest building,"Brisbane CBD, Brisbane",7.0,Good ,2 reviews,0.7 km from centre,Travel Sustainable,"Boasting a fitness centre, a garden, and a terrace, CBD RiverView 2Bed Apt Kingbed at Tallest building features accommodation in Brisbane with free WiFi and city views. "
421,Brisbane City Apartments (Festival),"Brisbane CBD, Brisbane",9.3,Superb ,3 reviews,0.5 km from centre,Travel Sustainable,Brisbane City Apartments (Festival) is attractively situated in the centre of Brisbane and has a terrace. 
422,Light apartment in amazing central location,"South Brisbane, Brisbane",9.3,Superb ,3 reviews,1 km from centre,Not Travel Sustainable,"Boasting city views, Light apartment in amazing central location features accommodation with an outdoor swimming pool and a balcony, around 800 metres from Brisbane Convention & Exhibition Centre. "
423,Lovely Family 3 Bedroom Townhouse Close to City By Serain Residences,"Annerley, Brisbane",7.3,Good ,3 reviews,4.9 km from centre,Not Travel Sustainable,"Lovely Family 3 Bedroom Townhouse Close to City By Serain Residences, a property with a garden, is situated in Brisbane, 3.7 km from The Gabba - Brisbane Cricket Ground, 4.7 km from Southbank Station,..."
424,Perfect on Prince,Brisbane,Nan,Nan,Nan,10.1 km from centre,Not Travel Sustainable,"Located just 6.2 km from Brisbane Entertainment Centre, Perfect on Prince provides accommodation in Brisbane with access to an outdoor swimming pool, a shared lounge, as well as a shared kitchen. "
425,Modern Central 2 Bed Carpark Wifi Netflix Pool Gym,"Spring Hill, Brisbane",8.5,Very good ,6 reviews,1 km from centre,Not Travel Sustainable,"Set about less than 1 km from Brisbane Central Station, Modern Central 2 Bed Carpark Wifi Netflix Pool Gym offers accommodation with an outdoor pool and free WiFi. "
426,Luxe Apartment with Car Park,"South Brisbane, Brisbane",8.3,Very good ,7 reviews,1.4 km from centre,Not Travel Sustainable,"Situated in Brisbane, 700 metres from Brisbane Convention & Exhibition Centre, less than 1 km from South Bank Parklands and a 12-minute walk from South Brisbane Station, Luxe Apartment with Car Park..."
427,ONE OAK (693I),"Newstead, Brisbane",9.0,Superb ,1 review,2.8 km from centre,Travel Sustainable,"Featuring an outdoor pool and city views, ONE OAK (693I) is situated in Brisbane. Located 1.6 km from Brisbane Showgrounds, the property provides a fitness centre and free private parking. "
428,River-View Unit with Rooftop Pool near Museums,"South Brisbane, Brisbane",7.0,Good ,8 reviews,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane, 500 metres from South Brisbane Station, 600 metres from Brisbane Convention & Exhibition Centre and 1 km from South Bank Parklands, River-View Unit with Rooftop Pool near Museums..."
429,60th floor - Skytower,"Brisbane CBD, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Featuring a private pool and city views, 60th floor - Skytower is located in Brisbane. "
430,Parkside on Marshall,"Rocklea, Brisbane",Nan,Nan,Nan,9.7 km from centre,Not Travel Sustainable,"Set in Brisbane in the Queensland region, Parkside on Marshall has a balcony. The 5-star holiday home features garden views and is 8 km from Boggo Road Gaol. "
